variable,minimum,maximum,mean_,median_,stdDev,Q1,Q3,IQR,CV
biomass_g,1.379166666,815.2078441,232.0029007,138.8704765,220.6918456,50.66414037,388.5714217,337.9072814,0.951246062
Diam_cm,0.17,3.32,1.66675,1.555,0.950445417,0.8325,2.5,1.6675,0.570238739
height_m,0.32,3.21,1.652666667,1.75,0.636308595,1.2,2.1,0.9,0.385019319
,,,,,,,,,
variable,biomass_g,Diam_cm,height_m,,,,,,
minimum,1.379166666,0.17,0.32,,,,,,
maximum,815.2078441,3.32,3.21,,,,,,
mean_,232.0029007,1.66675,1.652666667,,,,,,
median_,138.8704765,1.555,1.75,,,,,,
stdDev,220.6918456,0.950445417,0.636308595,,,,,,
Q1,50.66414037,0.8325,1.2,,,,,,
Q3,388.5714217,2.5,2.1,,,,,,
IQR,337.9072814,1.6675,0.9,,,,,,
CV,0.951246062,0.570238739,0.385019319,,,,,,
